binning,bin,block,sample,block_meaning,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout
round_bin,round 3,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,80,80,84,84,0.08027664999534379,-0.02676113350835514,0.17711732283616766,0.055314702004355065,-0.003819653146701046,0.10883039763333295
round_bin,round 3,cumulative,talkers,every message so far this game,elastic net,rules+timing,80,80,84,84,0.15263874188235083,-0.06660700974523091,0.3247748232469153,0.04997169416318048,-0.11762600340672857,0.18424827914424585
round_bin,round 3,pre,talkers,"this round, before the outcome",random forest,rules+timing,80,80,84,84,-0.015315759420458042,-0.048038757735931095,0.02169265404552862,0.01929448610849871,0.0012073380503328569,0.040255709520619055
round_bin,round 3,post,talkers,"last round, after the outcome",random forest,rules+timing,80,80,84,84,0.0378280589426534,-0.029232629817391127,0.09853707621524098,0.12263449426327877,0.06394088847834598,0.18606014687594524
round_bin,round 3,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,80,80,84,84,0.04234100352512271,-0.04360325317135278,0.10837440683074812,0.0417427617538062,-0.008029340637333094,0.11961812343519307
round_bin,round 3,cumulative,talkers,every message so far this game,random forest,rules+timing,80,80,84,84,0.15238724544131055,0.06454596180411765,0.23600352257165264,2.220446049250313e-16,-2.220446049250313e-16,6.661338147750939e-16
round_bin,round 3,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,80,80,84,84,-0.045415929105229846,-0.08554293781318918,0.0016820376690863895,-0.019472744164374944,-0.05839751104455636,0.05207446137298318
round_bin,round 3,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,80,80,84,84,-0.06300437273979176,-0.11643119256460331,8.476475266220104e-05,0.013274618492429835,-0.021338957427053478,0.07763477517219085
round_bin,round 3,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,80,80,84,84,-0.019178931130621635,-0.07134587297245833,0.040800128983146985,-0.02006002819583652,-0.07921512250138227,0.08452524325663761
round_bin,round 3,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,80,80,84,84,-0.07267327361948417,-0.1499478755083376,0.0015901339460513161,0.0023876448481287005,-0.062036664562537175,0.11652713309250888
round_bin,round 3,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,80,80,84,84,0.07498957464423073,0.03414402181990958,0.12010445799958033,0.009223932041052652,-0.0058058189971496145,0.029119410978622997
round_bin,round 3,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,80,80,84,84,0.12736913835384223,0.06328576272162556,0.19303492543779638,0.08124996431295661,0.04625959177623667,0.12191143567399969
round_bin,round 3,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,80,80,84,84,0.14445337781424106,0.0783282658100001,0.20771699697269905,0.023032132527248783,-0.01417266138977882,0.07913698972363885
round_bin,round 3,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,80,80,84,84,0.22049700850815512,0.1494430812584839,0.29179116904653535,0.05067061445476795,-0.0012700288000846236,0.09927840262111123
round_bin,rounds 4-6,pre,talkers,"this round, before the outcome",elastic net,rules+timing,191,94,207,129,-0.06441631403814452,-0.14886289521050125,0.005698443215290792,0.037336148767729505,-0.00695155335146494,0.08919935563512243
round_bin,rounds 4-6,post,talkers,"last round, after the outcome",elastic net,rules+timing,191,94,207,129,0.03638762703870346,-0.030950843707009852,0.12050783346115974,0.02895764298883119,-0.031101964430966973,0.09028153828866453
round_bin,rounds 4-6,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,191,94,207,129,0.012140126433557552,-0.05469986308639282,0.07914215297740719,0.020057437036042014,-0.09898267071310374,0.12567225343275507
round_bin,rounds 4-6,cumulative,talkers,every message so far this game,elastic net,rules+timing,191,94,207,129,-0.0837455564105466,-0.1583822586845774,0.013414575053732669,-5.823574049657054e-06,-0.08825924609177428,0.10210501449646464
round_bin,rounds 4-6,pre,talkers,"this round, before the outcome",random forest,rules+timing,191,94,207,129,-0.03719305340457535,-0.07808945607217974,-0.002451388484079828,-0.001759339528162207,-0.028418802782780146,0.024322995727019465
round_bin,rounds 4-6,post,talkers,"last round, after the outcome",random forest,rules+timing,191,94,207,129,-0.02947985114721441,-0.09785481538339198,0.026651908373621313,0.005102494487869924,-0.026756945602244966,0.035741621982142105
round_bin,rounds 4-6,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,191,94,207,129,0.0007938716196591589,-0.06632188306907658,0.05513622655839919,0.020251274213561765,-0.02087172756199601,0.05514318349360668
round_bin,rounds 4-6,cumulative,talkers,every message so far this game,random forest,rules+timing,191,94,207,129,-0.05291259609007537,-0.1479231477690818,0.031928006520861904,0.016450354813855594,-0.033980163948133205,0.06177132396376293
round_bin,rounds 4-6,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,191,94,207,129,-0.013804266942679555,-0.05746063175015944,0.012874978718986227,-0.0437663506647098,-0.09934702648845302,0.005362984832660145
round_bin,rounds 4-6,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,191,94,207,129,-0.004163962919005448,-0.020458849985188148,0.016988929123764658,0.016226081760308264,-0.0018101656936591935,0.03638447237335438
round_bin,rounds 4-6,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,191,94,207,129,-0.008491533253996542,-0.028941200756186985,0.014962197676853336,0.019087094530218618,0.0020531642567013677,0.03736312514979845
round_bin,rounds 4-6,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,191,94,207,129,-0.020989390494681626,-0.05234587551999209,0.011133782521520214,0.012280673451345425,-0.009200312264654157,0.03394558195748327
round_bin,rounds 4-6,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,191,94,207,129,-0.007997986020500614,-0.024018536071571388,0.013958903018696558,0.016407166484575186,0.002056370559993287,0.03449422703983261
round_bin,rounds 4-6,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,191,94,207,129,0.0035169643895214264,-0.021170385834926232,0.03435958463854091,0.03256977850129372,0.015134712032430329,0.05287429045602406
