binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
stage,middle,talkers,pre,post,False,elastic net,rules+timing+momentum,647,103,704,151,-0.0015155342281621964,-0.015283641899978412,0.00281588886658864,-0.0023750584572497235,-0.009835607337347734,0.005649281293120588
stage,middle,talkers,pre,window,True,elastic net,rules+timing+momentum,647,103,704,151,-0.003829228630898074,-0.013829033847955164,0.0002931227086669869,0.0011452913721321512,-0.005857061765254584,0.008439012400194904
stage,middle,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,647,103,704,151,0.004321848972196896,-0.01259249061724518,0.012994867766069127,-0.008211456804182449,-0.020132612705965662,0.002120469290362447
stage,middle,talkers,post,window,True,elastic net,rules+timing+momentum,647,103,704,151,-0.0023136944027358775,-0.0056635068093436715,0.0063726125898587475,0.0035203498293818747,-0.0017686840896545984,0.009301970237578438
stage,middle,talkers,post,cumulative,True,elastic net,rules+timing+momentum,647,103,704,151,0.005837383200359092,-0.004067419089134499,0.01869215975811666,-0.005836398346932725,-0.015400002645207226,0.0026519179410212984
stage,middle,talkers,window,cumulative,True,elastic net,rules+timing+momentum,647,103,704,151,0.00815107760309497,-0.003647639410342429,0.017197414278198316,-0.0093567481763146,-0.01899906561021273,-0.000877719510622068
stage,middle,talkers,pre,post,False,random forest,rules+timing+momentum,647,103,704,151,0.011931935819045614,-0.015300487471130242,0.02202997422917529,-0.0022363135924013955,-0.007962283678268674,0.003649115699769134
stage,middle,talkers,pre,window,True,random forest,rules+timing+momentum,647,103,704,151,0.01702562111784567,-0.006271630464722627,0.025757875680976913,-0.0010010381122022016,-0.007839920373951773,0.006769292935067531
stage,middle,talkers,pre,cumulative,True,random forest,rules+timing+momentum,647,103,704,151,0.033531057776872375,-0.2340196056843035,0.11072123714386706,-0.0033181503144162905,-0.028820230513307444,0.02287124221569709
stage,middle,talkers,post,window,True,random forest,rules+timing+momentum,647,103,704,151,0.005093685298800055,0.0003558493793644896,0.01908717142331225,0.0012352754801991939,-0.0033188903731345308,0.0067324736445631
stage,middle,talkers,post,cumulative,True,random forest,rules+timing+momentum,647,103,704,151,0.02159912195782676,-0.22954501066353106,0.09006370167912131,-0.001081836722014895,-0.02310383554708234,0.024364921092162838
stage,middle,talkers,window,cumulative,True,random forest,rules+timing+momentum,647,103,704,151,0.016505436659026707,-0.23548196481741676,0.08762563456364676,-0.002317112202214089,-0.025882493865860078,0.02360663925575285
stage,endgame,talkers,pre,post,False,elastic net,rules+timing,159,84,177,113,0.008427323389828656,-0.06057633533937437,0.09823688174482158,-0.03806099602150437,-0.13957183115343197,0.03016455879623339
stage,endgame,talkers,pre,window,True,elastic net,rules+timing,159,84,177,113,0.021034893273085498,-0.09022881107678438,0.15075789476120505,-0.04023599215322182,-0.27486721396349073,0.10787077861381904
stage,endgame,talkers,pre,cumulative,True,elastic net,rules+timing,159,84,177,113,0.023532534105383363,-0.12554376353983374,0.15880172021725192,0.11346594229126183,-0.15157548646557034,0.30446883131997576
stage,endgame,talkers,post,window,True,elastic net,rules+timing,159,84,177,113,0.012607569883256842,-0.10021829484756574,0.11205494413643542,-0.002174996131717455,-0.16210578620965632,0.12886058684185156
stage,endgame,talkers,post,cumulative,True,elastic net,rules+timing,159,84,177,113,0.015105210715554707,-0.13663415688260402,0.14420010410797765,0.1515269383127662,-0.07001307816843609,0.3210088317020164
stage,endgame,talkers,window,cumulative,True,elastic net,rules+timing,159,84,177,113,0.002497640832297865,-0.13045830376942033,0.12319272229565142,0.15370193444448366,-0.03192162664220153,0.3292246789703041
stage,endgame,talkers,pre,post,False,random forest,rules+timing,159,84,177,113,-0.031095317868152783,-0.06592996107515064,0.014919392480087133,-0.020169304564224833,-0.08500559379746772,0.03230592606015312
stage,endgame,talkers,pre,window,True,random forest,rules+timing,159,84,177,113,-0.00039267148328470114,-0.03833187768721286,0.07297835385848112,-0.020382541960247913,-0.06754111485123328,0.01916243690928419
stage,endgame,talkers,pre,cumulative,True,random forest,rules+timing,159,84,177,113,-0.02625256930135822,-0.14480266529069732,0.08193323259239045,0.10060170606642416,-0.024487729755883734,0.22210226320006887
stage,endgame,talkers,post,window,True,random forest,rules+timing,159,84,177,113,0.030702646384868082,-0.0022982366611882738,0.09189717915463204,-0.00021323739602308045,-0.045533987568071366,0.051461733786172505
stage,endgame,talkers,post,cumulative,True,random forest,rules+timing,159,84,177,113,0.0048427485667945636,-0.11256512649393567,0.10179213358562217,0.12077101063064899,0.005328238849556788,0.24659448148069146
stage,endgame,talkers,window,cumulative,True,random forest,rules+timing,159,84,177,113,-0.02585989781807352,-0.15660324071556792,0.07020393681431654,0.12098424802667207,-0.003329324392260998,0.24552270409297872
stage,endgame,talkers,pre,post,False,elastic net,rules+timing+momentum,159,84,177,113,-0.007753604089181909,-0.051285686352492255,0.030421547588043458,0.0027280196352467145,-0.025412303256653324,0.03595162309690288
stage,endgame,talkers,pre,window,True,elastic net,rules+timing+momentum,159,84,177,113,-0.0011649518848062534,-0.05394435845943033,0.038031658902820974,-0.011102379054885314,-0.041071676575831814,0.02015761530069907
stage,endgame,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,159,84,177,113,0.009654627526028858,-0.04496278112591388,0.04907528945650835,-0.015383318405992719,-0.07548013755728787,0.031876527846839794
stage,endgame,talkers,post,window,True,elastic net,rules+timing+momentum,159,84,177,113,0.006588652204375656,-0.0289849093320255,0.030990679217889873,-0.013830398690132029,-0.03225467019432255,-0.0019380965856540956
stage,endgame,talkers,post,cumulative,True,elastic net,rules+timing+momentum,159,84,177,113,0.017408231615210767,-0.019516071617872503,0.035921100552037746,-0.018111338041239433,-0.07100227120070753,0.014872258802232344
